x_bin,y_bin,2_week_period,lag_crime_count,y_true,y_pred,CATEGORY,CALL GROUPS,occ_date
36,130,201706,2.0,False,0,STREET CRIMES,PERSON CRIME,2017-03-13
36,130,201710,2.0,False,0,OTHER, SUSPICIOUS,2017-05-19
36,130,201711,2.0,False,0,OTHER, SUSPICIOUS,2017-05-29
36,130,201706,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-03-18
36,130,201711,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-05-26
36,130,201709,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-04-27
36,130,201710,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-05-20
36,130,201706,2.0,False,0,OTHER,TRAFFIC,2017-03-25
36,130,201707,2.0,False,0,OTHER,TRAFFIC,2017-03-30
36,130,201708,2.0,False,0,OTHER,TRAFFIC,2017-04-10
36,130,201709,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-04-23
36,130,201710,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-05-15
36,130,201710,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-05-16
36,130,201709,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-05-06
36,130,201711,2.0,False,0,OTHER,NON CRIMINAL/ADMIN,2017-05-24
87,89,201707,13.0,True,0,STREET CRIMES,DISORDER,2017-03-30
87,89,201710,13.0,True,0,STREET CRIMES,DISORDER,2017-05-14
87,89,201709,13.0,True,0,STREET CRIMES,PERSON CRIME,2017-05-02
87,89,201707,13.0,True,0,STREET CRIMES,DISORDER,2017-03-30
87,89,201705,13.0,True,0,STREET CRIMES,DISORDER,2017-03-04
87,89,201706,13.0,True,0,STREET CRIMES,DISORDER,2017-03-24
87,89,201707,13.0,True,0,STREET CRIMES,DISORDER,2017-03-27
87,89,201708,13.0,True,0,STREET CRIMES,DISORDER,2017-04-20
87,89,201711,13.0,True,0,STREET CRIMES,DISORDER,2017-05-23
87,89,201706,13.0,True,0,STREET CRIMES,DISORDER,2017-03-20
87,89,201707,13.0,True,0,STREET CRIMES,DISORDER,2017-03-30
87,89,201710,13.0,True,0,STREET CRIMES,DISORDER,2017-05-09
87,89,201710,13.0,True,0,STREET CRIMES,PERSON CRIME,2017-05-13
87,89,201709,13.0,True,0,STREET CRIMES,DISORDER,2017-04-24
87,89,201710,13.0,True,0,STREET CRIMES,DISORDER,2017-05-09
87,89,201710,13.0,True,0,STREET CRIMES,DISORDER,2017-05-13
87,89,201710,13.0,True,0,OTHER, SUSPICIOUS,2017-05-07
87,89,201709,13.0,True,0,OTHER, SUSPICIOUS,2017-05-03
87,89,201711,13.0,True,0,OTHER,DISORDER,2017-05-27
87,89,201708,13.0,True,0,OTHER,DISORDER,2017-04-16
87,89,201707,13.0,True,0,OTHER,DISORDER,2017-04-03
87,89,201707,13.0,True,0,OTHER,DISORDER,2017-04-08
87,89,201705,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-03-08
87,89,201706,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-03-16
87,89,201710,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-09
87,89,201706,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-03-13
87,89,201706,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-03-20
87,89,201707,13.0,True,0,OTHER,PROPERTY CRIME,2017-03-31
87,89,201706,13.0,True,0,OTHER,PROPERTY CRIME,2017-03-21
87,89,201711,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-22
87,89,201707,13.0,True,0,OTHER,PROPERTY CRIME,2017-04-08
87,89,201707,13.0,True,0,OTHER,PROPERTY CRIME,2017-03-29
87,89,201707,13.0,True,0,OTHER,PROPERTY CRIME,2017-04-01
87,89,201707,13.0,True,0,OTHER,TRAFFIC,2017-04-08
87,89,201711,13.0,True,0,OTHER, SUSPICIOUS,2017-05-27
87,89,201707,13.0,True,0,OTHER,DISORDER,2017-03-27
87,89,201705,13.0,True,0,OTHER,DISORDER,2017-03-11
87,89,201705,13.0,True,0,OTHER,DISORDER,2017-03-04
87,89,201707,13.0,True,0,OTHER,DISORDER,2017-03-26
87,89,201709,13.0,True,0,OTHER,DISORDER,2017-04-26
87,89,201710,13.0,True,0,OTHER,DISORDER,2017-05-16
87,89,201710,13.0,True,0,OTHER,DISORDER,2017-05-15
87,89,201711,13.0,True,0,OTHER,DISORDER,2017-05-24
87,89,201708,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-04-18
87,89,201710,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-15
87,89,201709,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-06
87,89,201709,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-02
87,89,201709,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-05
87,89,201711,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-25
87,89,201707,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-04-03
87,89,201710,13.0,True,0,OTHER,NON CRIMINAL/ADMIN,2017-05-09
87,89,201711,13.0,True,0,OTHER,PROPERTY CRIME,2017-05-25
87,89,201706,13.0,True,0,OTHER,PROPERTY CRIME,2017-03-16
